Anno,Titolo,Artista,Anno_ultimo_rilascio,Durata(min),Popolarità,URL immagine album,Decade,Anni_dalla_pubblicazione
1972,I giorni dell'arcobaleno,Nicola Di Bari,2004,3.036,29,https://i.scdn.co/image/ab67616d0000b273386debea34b8d7607b8b07fb,1970,32
1972,Come le viole,Peppino Gagliardi,1995,3.484,41,https://i.scdn.co/image/ab67616d0000b2735e07beed771db50692d3d631,1970,23
1972,Il re di denari,Nada,2017,2.574,21,https://i.scdn.co/image/ab67616d0000b27345dcfafe986a039dc113f3cc,1970,45
1972,Vado a lavorare,Gianni Morandi,2001,3.65,8,https://i.scdn.co/image/ab67616d0000b273641212e67a1c522b0469f5bc,1970,29
1972,Non voglio innamorarmi mai,Gianni Nazzaro,2015,3.211,25,https://i.scdn.co/image/ab67616d0000b273824ea50da4bc762685e3a97c,1970,43
1972,Jesahel,Delirium,1971,4.164,29,https://i.scdn.co/image/ab67616d0000b27395dd02b1a55ab68e0b712a0f,1970,0
1972,Montagne verdi,Marcella Bella,1972,3.201,36,https://i.scdn.co/image/ab67616d0000b273980019edc2711065fbdad9fb,1970,0
1972,Piazza Grande,Lucio Dalla,1994,3.198,51,https://i.scdn.co/image/ab67616d0000b273edea47d2491a020eaf1c83ba,1970,22
1972,Gira l'amore (Caro bebè),Gigliola Cinquetti,2009,2.812,9,https://i.scdn.co/image/ab67616d0000b2732e355e508811d889906a28af,1970,37
1972,Ti voglio,Donatello,2002,3.282,3,https://i.scdn.co/image/ab67616d0000b273a476144f6be2bb5d1c2ba3a1,1970,30
1972,Un diadema di ciliegie,Ricchi e Poveri,2009,4.134,1,https://i.scdn.co/image/ab67616d0000b273ae7b3f093a1189afa9438922,1970,37
1972,Mediterraneo,Milva,1967,3.305,8,https://i.scdn.co/image/ab67616d0000b273bedafd6bac50ad64ce5e0ce2,1970,0
1972,Un calcio alla città,Domenico Modugno,2013,4.055,11,https://i.scdn.co/image/ab67616d0000b273887d09a59c39b053fc8764c8,1970,41
1972,Amici mai,Rita Pavone,1991,5.353,47,https://i.scdn.co/image/ab67616d0000b273286211a2d25b7959ab24a8fa,1970,19
1972,Ci sono giorni,Pino Donaggio,2019,6.55,4,https://i.scdn.co/image/ab67616d0000b2737b0c1bb0b667c8acc71aa0a3,1970,47
1972,Ciao amico ciao,Aguaviva,2007,3.071,0,https://i.scdn.co/image/ab67616d0000b273cd6f97b2b50735a466c67d19,1970,35
1972,Era bello il mio ragazzo,Anna Identici,1972,3.294,4,https://i.scdn.co/image/ab67616d0000b273271118187b89f61f3e405396,1970,0
1972,Forestiero,Michele,2021,3.379,0,https://i.scdn.co/image/ab67616d0000b273c44cffaf97f21ccf91f2734c,1970,49
1972,Il mio cuore se ne va,Carla Bissi,1973,3.166,1,https://i.scdn.co/image/ab67616d0000b27384ce3c3ec8c39fce8a6f02d7,1970,1
1972,L'uomo e il cane,Fausto Leali,2022,3.895,0,https://i.scdn.co/image/ab67616d0000b2738ad0ea30f01c0bc2f8b75adb,1970,50
1972,Portami via,Angelica,2025,3.867,7,https://i.scdn.co/image/ab67616d0000b2733e934051b39f02af4d299858,1970,53
1972,Preghiera,Tony Cucchiara,1988,7.266,0,https://i.scdn.co/image/ab67616d0000b273af18af096fb66c000230eea5,1970,16
1972,Rimpianto,Bobby Solo,1998,4.372,53,https://i.scdn.co/image/ab67616d0000b27357cf963e23461d4a3d16c9ec,1970,26
1972,Un gatto nel blu,Roberto Carlos,1976,3.843,19,https://i.scdn.co/image/ab67616d0000b2732deff8e407ed509ccf157e2d,1970,4
1972,Un viaggio in Inghilterra,I Nuovi Angeli,1994,3.46,1,https://i.scdn.co/image/ab67616d0000b2735ce657018af2d44203ae713e,1970,22
1973,Un grande amore e niente più,Peppino Di Capri,2013,2.203,30,https://i.scdn.co/image/ab67616d0000b2735473fe17a7ecbcdee3ff3a54,1970,40
1973,Come un ragazzino,Peppino Gagliardi,2015,3.759,35,https://i.scdn.co/image/ab67616d0000b273fa5b1b3c79a950ccb211af99,1970,42
1973,Da troppo tempo,Milva,2016,4.671,2,https://i.scdn.co/image/ab67616d0000b27378396ae54120e8918a06f038,1970,43
1973,Dolce frutto,Ricchi e Poveri,2021,3.239,16,https://i.scdn.co/image/ab67616d0000b273640114b8170b11ff78aad10c,1970,48
1973,Serena,Gilda Giuliani,2002,4.314,9,https://i.scdn.co/image/ab67616d0000b273fa70c917a174ed5302f628b0,1970,29
1973,Tu nella mia vita,Wess e Dori Ghezzi,1977,3.293,1,https://i.scdn.co/image/ab67616d0000b27334369878190156418e9568ee,1970,4
